platenumber	row	column	data_subtypes
1	A	1	Pinning Error
1	B	1	Pinning Error
1	C	1	Pinning Error
1	D	1	Pinning Error
1	E	1	Empty
1	F	1	Empty
1	G	1	Lessthan 25% Plate Median
1	H	1	Lessthan 25% Plate Median
1	I	1	Lessthan Plate Median
1	J	1	Lessthan Plate Median
1	K	1	Lessthan Plate Median
1	L	1	Lessthan Plate Median
1	M	1	Morethan Plate Median
1	N	1	Morethan Plate Median
1	O	1	Morethan Plate Median
1	P	1	Morethan Plate Median
1	A	2	Morethan Plate Median
1	B	2	Morethan Plate Median
1	C	2	Morethan Plate Median
1	D	2	Morethan 90% Plate Median
1	E	2	Morethan 90% Plate Median
1	F	2	Morethan 90% Plate Median
1	G	2	Morethan 90% Plate Median
1	H	2	Morethan 90% Plate Median
1	I	2	Pinning Error
1	J	2	Pinning Error
1	K	2	Pinning Error
1	L	2	Pinning Error
1	M	2	Empty
1	N	2	Empty
1	O	2	Lessthan 25% Plate Median
1	P	2	Lessthan 25% Plate Median
1	A	3	Lessthan Plate Median
1	B	3	Lessthan Plate Median
1	C	3	Lessthan Plate Median
1	D	3	Lessthan Plate Median
1	E	3	Morethan Plate Median
1	F	3	Morethan Plate Median
1	G	3	Morethan Plate Median
1	H	3	Morethan Plate Median
1	I	3	Morethan Plate Median
1	J	3	Morethan Plate Median
1	K	3	Morethan Plate Median
1	L	3	Morethan 90% Plate Median
1	M	3	Morethan 90% Plate Median
1	N	3	Morethan 90% Plate Median
1	O	3	Morethan 90% Plate Median
1	P	3	Morethan 90% Plate Median
1	A	4	Morethan Plate Median
1	B	4	Morethan Plate Median
1	C	4	Morethan Plate Median
1	D	4	Morethan Plate Median
1	E	4	Morethan Plate Median
1	F	4	Morethan Plate Median
1	G	4	Morethan Plate Median
1	H	4	Morethan Plate Median
1	I	4	Morethan Plate Median
1	J	4	Morethan Plate Median
1	K	4	Morethan Plate Median
1	L	4	Morethan Plate Median
1	M	4	Morethan Plate Median
1	N	4	Morethan Plate Median
1	O	4	Morethan Plate Median
1	P	4	Morethan Plate Median
1	A	5	Morethan Plate Median
1	B	5	Morethan Plate Median
1	C	5	Morethan Plate Median
1	D	5	Morethan Plate Median
1	E	5	Morethan Plate Median
1	F	5	Morethan Plate Median
1	G	5	Morethan Plate Median
1	H	5	Morethan Plate Median
1	I	5	Pinning Error
1	J	5	Pinning Error
1	K	5	Pinning Error
1	L	5	Pinning Error
1	M	5	Empty
1	N	5	Empty
1	O	5	Lessthan 25% Plate Median
1	P	5	Lessthan 25% Plate Median
1	A	6	Lessthan Plate Median
1	B	6	Lessthan Plate Median
1	C	6	Lessthan Plate Median
1	D	6	Lessthan Plate Median
1	E	6	Morethan Plate Median
1	F	6	Morethan Plate Median
1	G	6	Morethan Plate Median
1	H	6	Morethan Plate Median
1	I	6	Morethan Plate Median
1	J	6	Morethan Plate Median
1	K	6	Morethan Plate Median
1	L	6	Morethan 90% Plate Median
1	M	6	Morethan 90% Plate Median
1	N	6	Morethan 90% Plate Median
1	O	6	Morethan 90% Plate Median
1	P	6	Morethan 90% Plate Median
1	A	7	Lessthan Plate Median
1	B	7	Lessthan Plate Median
1	C	7	Lessthan Plate Median
1	D	7	Lessthan Plate Median
1	E	7	Lessthan Plate Median
1	F	7	Lessthan Plate Median
1	G	7	Lessthan Plate Median
1	H	7	Lessthan Plate Median
1	I	7	Lessthan Plate Median
1	J	7	Lessthan Plate Median
1	K	7	Lessthan Plate Median
1	L	7	Lessthan Plate Median
1	M	7	Lessthan Plate Median
1	N	7	Lessthan Plate Median
1	O	7	Lessthan Plate Median
1	P	7	Lessthan Plate Median
1	A	8	Lessthan Plate Median
1	B	8	Lessthan Plate Median
1	C	8	Lessthan Plate Median
1	D	8	Lessthan Plate Median
1	E	8	Lessthan Plate Median
1	F	8	Lessthan Plate Median
1	G	8	Lessthan Plate Median
1	H	8	Lessthan Plate Median
1	I	8	Lessthan Plate Median
1	J	8	Pinning Error
1	K	8	Lessthan Plate Median
1	L	8	Lessthan Plate Median
1	M	8	Lessthan Plate Median
1	N	8	Empty
1	O	8	Lessthan Plate Median
1	P	8	Lessthan Plate Median
1	A	9	Lessthan Plate Median
1	B	9	Lessthan 25% Plate Median
1	C	9	Lessthan Plate Median
1	D	9	Lessthan Plate Median
1	E	9	Lessthan Plate Median
1	F	9	Empty
1	G	9	Lessthan Plate Median
1	H	9	Lessthan Plate Median
1	I	9	Lessthan Plate Median
